@id,@lon,@lat,name,operator,manufacturer,manufacturer:type,generator:manufacturer,generator:type,generator:output:electricity,power_rating,rotor:diameter,height,ref,note
25891493,8.9080710,53.0017859,,,,,,,,,,,,
25891494,8.9063544,52.9989708,,,,,,,,,,,,
25891495,8.9123840,53.0003525,,,,,,,,,,,,
25891496,8.8411450,52.9379478,,,,,,,,,,,,
25891497,8.8439345,52.9374046,,,,,,,,,,,,
25891498,8.8467455,52.9367252,,,,,,,,,,,,
25891499,8.8497281,52.9365506,,,,,,,,,,,,
28838953,7.4799287,51.6419367,,,,,,,,,,,,
29783055,7.7497368,51.6222739,,,,,,,,,,,,
29783056,7.7542364,51.6223329,,,,,,,,,,,,
30421327,9.7319467,52.2796292,,,,,,,,,,,,
30421328,9.7328481,52.2741890,,,,,,,,,,,,
33062893,12.9100524,52.5766270,,,Enercon,E-40,,,600 kW,600 kW,,,,
33062894,12.9083916,52.5781176,,,Enercon,E-40,,,600 kW,600 kW,,,,
33062895,12.9111311,52.5786288,,,Enercon,E-40,,,600 kW,600 kW,,,,
33062896,12.9187889,52.5774108,,,Enercon,E-40,,,600 kW,600 kW,,,,
33062897,12.9205560,52.5758934,,,Enercon,E-40,,,600 kW,600 kW,,,,
33062898,12.9222555,52.5744173,,,Enercon,E-40,,,600 kW,600 kW,,,,
33062899,12.9239627,52.5729047,,,DeWind,D 4,,,600 kW,600 kW,,,D-50121,
33062900,12.9253446,52.5716631,,,DeWind,D 4,,,600 kW,600 kW,,,D-50123,
33062901,12.9257917,52.5792889,,,GE Wind Energy,GE EN 1.5 S,,,1.5 MW,1500 kW,,,GE-15420278,NH 85 m  RD 70 5 m
33069521,7.2894643,53.5430568,,,,,,,,,,,,
33510485,6.2217077,51.7138545,DE WIND,,,,,,,,,,DE WIND D 260040,
33510537,6.2241700,51.7102994,DE WIND,,,,,,,,,,DE WIND D 60049,
33514169,6.2482045,51.6983721,,,,,,,,,,,,
33518323,2.7639070,51.1411542,,,,,,,,,,,,
33518330,2.7614609,51.1395252,,,,,,,,,,,,
33956277,13.8338749,52.6919998,,,,,,,,,,,,
33956278,13.8341153,52.6937841,,,,,,,,,,,,
33965037,13.5904644,52.6185448,,,Tacke,EN 600-a,,,600 kW,600 kW,,,GE-6162045,
46992599,12.9268809,52.5703486,,,DeWind,D 4,,,600 kW,600 kW,,,D-50124,
50900412,13.3484184,54.6635778,,,,,,,,,,,,
52803296,11.6859891,52.1947667,,,Enercon,E-82,,,,,,,,
59968518,12.8770772,52.5670709,,,Südwind,,,,,,,,,
60458987,13.4370808,52.7415562,,,,,,,,,,,,
60600158,7.1492886,52.0751283,,,,,,,,,,,,
60815786,8.7229671,50.2216233,,,,,,,1 MW,,,,,
60815932,8.7247881,50.2200327,,,,,,,1 MW,,,,,
61104411,13.8910382,53.4556195,,,,,,,,,,,,
61745844,13.6563763,52.6846115,,,Nordex,N 62,,,,,,,NX-1358,NH 69 m  RD 62 m
61745891,13.6549859,52.6820775,,,Nordex,N 62,,,1.3 MW,1300 kW,,,NX-1357,NH 69 m  RD 62 m
61745941,13.6537499,52.6793300,,,Nordex,N 62,,,1.3 MW,1300 kW,,,NX-1356,NH 69 m  RD 62 m
61746362,13.6710620,52.6895385,,,,,,,1 MW,1000 kW,,,FL-79,
61746425,13.6714911,52.6876448,,,,,,,1 MW,1000 kW,,,FL-78,
61746504,13.6719203,52.6858238,,,,,,,1 MW,1000 kW,,,FL-77,
61746570,13.6723838,52.6839819,,,,,,,1 MW,1000 kW,,,FL-76,
61746623,13.6728387,52.6821191,,,,,,,1 MW,1000 kW,,,FL-75,
61746704,13.6732919,52.6801903,,,,,,,1 MW,1000 kW,,,FL-74,
61747015,13.6851725,52.6966549,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46534,NH 73 m  RD 46 m
61747067,13.6864858,52.6984234,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46531,NH 73 m  RD 46 m
61747124,13.6898761,52.6963584,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46005,NH 73 m  RD 46 m
61747170,13.6929660,52.6950268,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46006,NH 74 m  RD 46 m (1 m höher als die anderen?)
61747225,13.6931805,52.7016794,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46533,NH 73 m  RD 46 m
61747294,13.7076773,52.7015078,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46535,NH 73 m  RD 46 m
61747330,13.7008281,52.7005456,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46532,NH 73 m  RD 46 m
61747430,13.7048278,52.6960203,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46016,NH 73 m  RD 46 m
61747516,13.6933436,52.6997914,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46009,NH 73 m  RD 46 m
61747569,13.6915412,52.6980749,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46004,NH 73 m  RD 46 m
61747633,13.6971288,52.6979189,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46001,NH 74 m  RD 46 m (1 m höher als die anderen?)
61747683,13.6992059,52.6991672,,,Südwind,S.46/750,,,750 kW,750 kW,,,SW-46003,NH 73 m  RD 46 m
